Date,Topic,Type,Slides_Link,Recording_Link
20-Jun-23,Program Introduction,Lecture,https://www.dropbox.com/s/1aavf61yr8314ju/230620%20Program%20Introduction%20en.pptx?dl=0,https://www.dropbox.com/scl/fo/lmb7g5qcs0zt6hsyxpxsm/h?dl=0&rlkey=fto39noqpu2khhzgfrpcpuyeu
21-Jun-23,Malaria Epidemiology Crash Course,Lecture,https://www.dropbox.com/s/eu9hozndvgiqmbf/230621%20Malaria%20Epidemiology%20Crash%20Course.pptx?dl=0,https://www.dropbox.com/scl/fo/gfzqe2x39m3us6w1qbzwl/h?dl=0&rlkey=4uxil1d13nz1a8i9ynimhi26t
22-Jun-23,Advice from Program Alumni,Discussion,,https://www.dropbox.com/s/ue6jxbtowwfgz7y/Advice%20From%20Program%20Alumni.mp4?dl=0
22-Jun-23,Journal Club: A Use of Mathematical Modeling in WHO Guidelines,Discussion,https://www.dropbox.com/s/ri4cnjrse8z50gz/JC-Week0_Presentation.pptx?dl=0,https://www.dropbox.com/s/ggc7p7tcjssjmeu/Journal%20Club%20Week%200.mp4?dl=0
27-Jun-23,Introduction to Applied Malaria Modeling,Lecture,https://www.dropbox.com/s/zq94dbak5jaqwt8/230627_applied_modeling%20en.pptx?dl=0,https://www.dropbox.com/s/mhoydl8zz1ys51i/Introduction_to_Applied_Malaria_Modeling.mp4?dl=0
27-Jun-23,Intro to EMOD,Lecture,https://www.dropbox.com/s/3hxtspyj7dpjxyv/230627_EMOD_intro_en.pptx?dl=0,https://www.dropbox.com/s/e8vq4qd6yyz7st6/Introduction_to_EMOD.mp4?dl=0
29-Jun-23,GitHub Tutorial,Tutorial,,
